Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
Cryptodira,Dante's Inspiration,26.0,0.47,0.966,6.0,-5.666,0,0.0948,6.44e-05,0.0264,0.0793,0.372,165.075,213689.0,3,8
The Beatles,I Will - Remastered 2009,63.0,0.631,0.387,5.0,-11.529,1,0.0262,0.742,0.000406,0.0822,0.832,103.11,105933.0,4,10
DJ Flex,Why (Afrobeat),39.0,0.748,0.715,1.0,-4.987,0,0.0605,0.108,0.00597,0.1,0.688,102.991,159066.0,4,9
Tropidelic,Cali,45.0,0.646,0.807,5.0,-5.169,1,0.0353,0.00445,,0.108,0.825,142.038,223348.0,4,10
Machine Head,Davidian,58.0,0.278,0.937,7.0,-6.952,1,0.168,0.000535,0.118,0.227,0.29,154.244,296627.0,3,8
Karthik,Nagumomu,24.0,0.643,0.691,,-9.628,0,0.0299,0.242,0.000122,0.222,0.656,96.003,5.686216667,4,0
YG,FTP,44.0,0.768,0.506,11.0,-8.749,0,0.236,0.0136,3.95e-05,0.349,0.395,99.978,162191.0,4,5
Jeris Johnson,One Night,54.0,0.625,0.778,1.0,-7.207,1,0.0642,0.00921,,0.103,0.961,160.039,163492.0,4,1
Riton,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,94.0,0.824,0.862,2.0,-3.424,1,0.126,0.0076,0.000132,0.303,0.801,122.98,169153.0,4,9
The Kinks,All Day and All of the Night,68.0,0.551,0.86,7.0,-7.839,1,0.0796,0.262,4.57e-06,0.0558,0.723,136.921,141507.0,4,10
Zero 9:36,Come Thru,51.0,0.613,0.86,4.0,-4.065,1,0.0425,0.0247,,0.438,0.638,93.042,177227.0,4,10
Motion City Soundtrack,The Future Freaks Me Out,53.0,0.661,0.874,5.0,-5.904,0,0.0456,0.0168,,0.41,0.682,127.915,216667.0,4,10
Katori Walker,INDEPENDENT,43.0,0.696,0.696,10.0,-6.257,1,0.285,0.461,,0.231,0.402,150.191,153652.0,4,5
New Star,Watchhouse,31.0,0.683,0.488,2.0,-8.733,1,0.0266,0.605,0.0554,0.13,0.424,113.387,3.095466667,4,0
Lenny Kravitz,Again,69.0,0.55,0.804,2.0,-5.218,1,0.0271,0.0148,4.33e-05,0.105,0.789,79.166,231667.0,4,10
