class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
p,3.42,x,k,n,f,s,,p,3.99,3.1,,,n,,,f,f,p,g,u
e,2.9,f,h,n,f,,c,k,5.39,6.17,,s,w,,w,f,f,k,d,u
p,7.89,b,y,w,f,,,k,15.7,17.74,,,w,,,f,f,,d,a
e,7.69,x,t,y,f,p,,y,7.3,15.78,,,y,,y,t,,,d,u
p,14.99,x,h,n,t,p,,e,9.0,32.47,c,,y,,,f,f,,d,u
p,6.47,f,y,u,f,s,c,y,6.58,16.7,,y,y,,,f,f,,d,a
e,19.15,f,y,w,f,,,w,30.07,22.82,s,,n,,,t,m,,m,u
p,14.82,x,k,w,t,d,d,w,6.93,25.53,,,w,,,f,f,,d,a
e,10.38,f,,g,f,s,c,u,8.18,20.5,,,b,,,f,f,,d,w
e,4.61,x,,y,f,a,c,y,5.16,9.69,,,w,,,f,f,,d,u
p,4.67,b,t,n,f,,,k,13.36,7.22,,,w,,,t,,k,g,a
p,7.11,x,w,e,f,x,,w,13.82,7.58,r,g,n,,,f,f,,d,u
p,5.71,f,t,e,f,x,,w,12.08,6.18,r,g,n,,,f,f,,d,u
e,7.61,f,,n,t,,,w,9.48,14.79,b,,w,u,w,t,g,,d,a
p,17.14,x,d,o,f,p,,y,4.83,32.29,,,n,,,f,f,,d,w
e,3.83,x,d,n,f,p,,n,4.12,10.25,,,n,,,f,f,,d,a
e,5.54,f,t,o,f,a,d,w,5.12,5.23,,s,o,,,f,f,,d,w
e,2.33,x,,b,f,,d,u,5.87,4.45,,,w,,,f,f,,d,a
p,11.39,o,,n,f,f,f,f,2.93,23.04,,g,n,,,f,f,,d,u
p,4.78,f,l,y,f,x,d,e,6.29,5.15,,,n,,,f,f,,d,u
p,2.19,f,t,n,f,,,y,6.88,3.13,,,y,,,f,f,,g,a
e,6.31,s,s,o,f,d,d,b,6.24,12.55,,,w,,,f,f,,d,w
e,5.75,x,h,n,f,x,c,w,5.87,5.5,,y,n,,,t,r,,d,a
p,8.59,x,,n,f,p,,p,9.29,26.26,c,,n,,,f,f,w,d,u
e,8.67,o,,n,f,,,w,5.3,22.42,,,n,,,f,f,,d,u
p,12.14,x,t,n,f,a,d,w,12.08,32.83,,,w,,,f,f,,d,a
e,8.54,x,e,y,f,x,c,w,7.87,20.02,,,w,,,f,f,,d,u
p,7.27,s,d,n,t,d,c,w,8.01,10.76,,,e,,,f,f,,d,a
p,2.95,f,,n,f,x,c,p,8.39,3.83,,,p,,,f,f,,d,u
e,6.19,o,,n,f,f,f,f,4.02,20.97,,,n,,,f,f,,l,s
p,2.47,x,g,e,f,a,,w,6.21,2.29,,,w,,,f,f,,d,a
p,13.56,x,g,n,f,p,,y,5.35,39.05,,,n,,,f,f,,d,a
e,4.27,b,g,w,f,x,d,w,5.26,3.18,,,y,,,f,f,,g,u
e,5.56,f,s,n,f,s,c,w,5.21,8.96,b,i,w,,,f,f,,g,a
p,1.46,b,h,n,f,a,,n,4.02,1.52,,t,n,,,f,f,,d,s
e,4.33,x,,y,f,x,c,u,6.5,3.72,,,w,,,f,f,,d,u
p,6.17,x,e,e,f,a,,w,7.64,10.15,,,n,,w,t,z,,d,a
e,8.97,p,y,w,f,e,c,w,18.45,12.48,,s,w,,,t,e,,g,a
e,7.31,s,s,y,f,x,,n,8.78,22.49,,,p,,,f,f,,d,a
p,7.83,p,g,n,f,e,,w,7.78,13.22,,y,w,u,w,t,p,,d,a
p,6.32,x,,g,f,d,c,y,5.17,10.22,b,,n,,,f,f,,l,w
p,7.47,f,t,e,f,x,d,w,5.6,17.16,b,,w,,,f,f,,d,a
p,8.6,b,t,w,f,e,c,w,13.62,14.23,,y,w,u,w,t,e,,d,u
e,7.91,x,t,y,f,p,,y,6.93,14.25,,,y,,y,t,,,d,a
p,7.37,b,t,w,f,e,c,w,12.96,13.06,,y,w,u,w,t,l,,d,a
e,13.94,x,t,k,f,a,d,k,5.6,19.83,,,w,,,f,f,w,d,u
p,3.49,x,,w,f,x,c,p,8.01,3.75,,,p,,,f,f,,d,a
e,9.2,f,t,n,f,s,,n,10.77,14.07,,i,n,,,f,f,,d,a
e,6.32,f,s,w,f,e,c,w,11.84,11.17,,s,w,,,t,e,,u,u
p,3.05,b,,k,f,a,,n,8.94,2.67,,,g,,w,f,f,k,g,a
p,4.99,s,d,o,f,d,c,o,3.94,7.05,,,y,,,f,f,,d,a
